imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,weighted_average_vote
tt0116391,Gang,Gang,2000,2000-04-21,"Action, Crime, Drama",152,India,Hindi,Mazhar Khan,,,"Jackie Shroff, Nana Patekar, Kumar Gaurav, Javed Jaffrey, Juhi Chawla, Shagufta Ali, Mukesh Khanna, Gulshan Grover, Tinnu Anand, Imtiaz Khan, Zahaan Khan, Deepak Shirke, Ekta Sohini, Dalip Tahil, Murad Ali","After falling prey to underworld, four friends jeopardize their personal lives with point of no return.",6.3,212,,$ 28915,,,4.0,1.0,6.3
tt0116748,Karobaar: The Business of Love,Karobaar: The Business of Love,2000,2000-09-15,"Drama, Romance",180,India,Hindi,Rakesh Roshan,"Sachin Bhowmick, Sachin Bhowmick",NH Studioz,"Juhi Chawla, Anil Kapoor, Rishi Kapoor, Tinnu Anand, Asrani, Suresh Chatwal, Tisca Chopra, Sulabha Deshpande, Dinesh Hingoo, Inder Khosla, Dev Malhotra, Ram Mohan, Navin Nischol, Aashif Sheikh, Himani Shivpuri","Wealthy Rajiv Sinha and middle-classed Amar Saxena are two childhood friends, with similar likes, and tastes. Their similar habits lead them to being in love with the same woman - Seema, ...",4.5,223,,$ 45200,$ 45200,,3.0,1.0,4.5
tt0118578,Albela,Albela,2001,2001-04-20,"Comedy, Drama, Romance",145,India,Hindi,Deepak Sareen,"Honey Irani, Honey Irani",Tips Films Pvt. Ltd.,"Govinda, Aishwarya Rai Bachchan, Jackie Shroff, Namrata Shirodkar, Saeed Jaffrey, Maya Alagh, Renuka Israni, Kiran, Sanjay Mishra, Dinyar Tirandaz","Tony (Govinda) works as a guide, helping tourists, and showing them his native land. Nina (Namrata Shirodkar) finds Tony adorable, but Tony is in his own world, and does not reciprocate her...",3.7,695,,,,,7.0,1.0,3.7
tt0120117,Shikari,Shikari,2000,2000-10-06,"Crime, Drama, Thriller",160,India,Hindi,N. Chandra,"N. Chandra, Rajeev Kaul",Kavita Pictures,"Govinda, Tabu, Karisma Kapoor, Shweta Menon, Nirmal Pandey, Sushma Seth, Kiran Kumar, Johnny Lever, Rana Jung Bahadur, Vishnu Sharma, Beena Banerjee, Deep Dhillon, Razak Khan, Arun Bali, Ghanshyam","Filled with vengeance, a simple man turns into a hardcore criminal in order to avenge the destruction of his family.",4.5,396,,$ 40712,$ 40712,,5.0,4.0,4.5
tt0151150,Josh,Josh,2000,2000-06-09,"Action, Drama, Musical",162,India,Hindi,Mansoor Khan,"Aatish Kapadia, Mansoor Khan",United Seven Combines,"Shah Rukh Khan, Aishwarya Rai Bachchan, Chandrachur Singh, Sharad S. Kapoor, Priya Gill, Sharat Saxena, Vivek Vaswani, Anjan Srivastav, Kumar Bharadwaj, Suhas Joshi, Nadira, Ali Asgar, Ruhshad Nariman Daruwalla, Saandesh Nayak, Shraddha Nigam",Shah Rukh Khan and Sharad Kapoor are the leaders of the two rival gangs. Aishwarya Rai is Shah Rukh Khan's twin sister. Shah Rukh is in love with Priya Gill. Chandrachur Singh is Sharad ...,6.1,9258,,$ 426318,$ 426318,,10.0,1.0,6.1
tt0169102,Lagaan - C'era una volta in India,Lagaan: Once Upon a Time in India,2001,2002-08-23,"Adventure, Drama, Musical",224,India,Hindi,Ashutosh Gowariker,"Ashutosh Gowariker, Ashutosh Gowariker",Aamir Khan Productions,"Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne, Suhasini Mulay, Kulbhushan Kharbanda, Raghuvir Yadav, Rajendra Gupta, Rajesh Vivek, Shri Vallabh Vyas, Javed Khan, Raj Zutshi, Akhilendra Mishra, Daya Shankar Pandey, Yashpal Sharma",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,8.1,102618,$ 6000000,$ 909043,$ 1724806,84.0,286.0,77.0,8.1
tt0187279,Meri Biwi Ka Jawab Nahin,Meri Biwi Ka Jawab Nahin,2004,2004-07-02,"Action, Comedy, Romance",150,India,Hindi,"Pankaj Parashar, S.M. Iqbal",,Iqbal Productions,"Akshay Kumar, Sridevi, Gulshan Grover, Laxmikant Berde, Anupam Kher, Kiran Kumar, Johnny Lever, Anil Nagrath, Neena Gupta, Jayshree T., Roshni Achreja, Harbans Darshan M. Arora, Balwant Bansal, Abha Dhulia, Brij Gopal",Ajay gets married to his childhood friend Durga; who is illiterate unable to differentiate between the style of these days and that of long time ago. When Ajay is given the post as police ...,3.9,654,,,,,3.0,1.0,3.9
tt1531486,Sanam Teri Kasam(Hindi),Sanam Teri Kasam,2009,2009-05-22,"Action, Drama, Romance",170,India,Hindi,Lawrence D'Souza,Talat Rekhi,Ultra,"Saif Ali Khan, Atul Agnihotri, Pooja Bhatt, Sheeba, Vikas Anand, Dinesh Hingoo, Saeed Jaffrey, Shashi Kiran, Alok Nath, Subbiraj, Tabassum",A love triangle forms after a male finds his best friend has married his sweetheart.,5.0,136,,,,,2.0,1.0,5.0
tt1745130,Sanam Teri Kasam(English),Sanam Teri Kasam,2009,2009-05-22,"Action, Drama, Romance",170,India,English,Lawrence D'Souza,Talat Rekhi,Ultra,"Saif Ali Khan, Atul Agnihotri, Pooja Bhatt, Sheeba, Vikas Anand, Dinesh Hingoo, Saeed Jaffrey, Shashi Kiran, Alok Nath, Subbiraj, Tabassum",A love triangle forms after a male finds his best friend has married his sweetheart.,5.0,136,,,,,2.0,1.0,5.0
tt0213890,Mohabbatein,Mohabbatein,2000,2000-10-27,"Musical, Drama, Romance",216,India,Hindi,Aditya Chopra,"Aditya Chopra, Aditya Chopra",Yash Raj Films,"Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj, Jimmy Sheirgill, Shamita Shetty, Preeti Jhangiani, Kim Sharma, Aishwarya Rai Bachchan, Anupam Kher, Archana Puran Singh, Saurabh Shukla, Helen, Amrish Puri, Shefali Shah","A film about the battle between love and fear, between two stubborn men and their opposing beliefs and the outcome of the love stories of 3 couples.",7.1,26584,$ 4000000,$ 1070000,$ 4279351,,63.0,11.0,7.1
